"","date","incident"
"13",2000-04-19,"Ethnic riots continued to rage in Tripura with 9 persons killed on April 19. While the tribal rebel group National Liberation Front of Tripura (NLFT) killed eight people in Laxmipur, suspected militants of United Bengali Liberation Force (UBLF) killed one person and injured six others in two separate bomb attacks in North and West districts of Tripura."
"14",2000-04-19,"Militants of the Karbi National Volunteer Force (KNVF) struck again in Assam killing 11 Nepalese in Assam's hill district of Karbi Anglong on April 19. This is the second major massacre by the group in this month. Several houses were burnt down by the marauding ultras before fleeing from the site."
"15",2000-04-21,"11 militants and two security forces personnel were killed in different parts of Jammu and Kashmir on April 21. Militants also set off several explosions in the State. In separate encounters, four militants were killed in Banihal, Doda district and three in Mahore. One soldier was injured. Police believe that all the killed militants were foreigners."
"16",2000-04-21,"Three militants, identified as Hizb-ul-Mujahideen members, were killed in Gund-e-Omer, Anantnag district."
"17",2000-04-22,"One Lashkar-e-Toiba (LeT) militant was killed in Potah, Poonch district, on April 22 in a sneak attack on an Army camp by a suicide squad comprising two LeT militants. Militants claimed that a Subedar and 25 jawans were  killed in the attack. A Defence ministry spokesman, however, said that 16 personnel of the Rashtriya Rifles who were on patrol duty in the area came under attack. Two soldiers were killed and another two were injured..  A massive combing operation has been launched in the Potha forests."
"18",2000-04-23,"Karbi militants, who are on a killing spree, struck again on April 23, killing six labourers at Akhoiphuta, Karbi Anglong district, Assam.  With these, the total number of lives claimed by Karbi militants during the last fortnight rose to 28."
"19",2000-04-26,"Five Border Security Force (BSF) personnel were killed and five others including the deputy commandant injured in a mine blast set off by militants in Jammu and Kashmir on April 26. A deputy commandant and four others received grievous injuries in this blasts which occurred in RS Pora."
"20",2000-04-26,"In a police encounter at thllavellamla in Nalgonda district on April 26 six left wing extremists belonging to the rachkonda squad were killed. The dead belonged to the People's  War Group (PWG)."
"21",2000-04-27,"Andhra Pradesh police achieved a success in their fight against Left wing extremists, Naxalites, on April 27, when 12 extremists of the Peoples’ War Group (PWG) were killed in Kavakondaguttala village, Warangal district, in an eight hour-long encounter."
"22",2000-04-28,"Four unidentified militants were killed at Peer Panchal Devasa (Mahore sector) on April 28. A security force personnel was injured in the encounter. In another encounter at Heera Nagar in Jammu division, two militants of the Lashkar-e-Toiba were killed."
"23",2000-04-29,"In another encounter, militants killed three Special Police Officers (SPOs) in Patnazi area of Doda district, on April 29."
"24",2000-04-03,"Seven people were killed and 11 injured when police fired on protestors in Anantnag district. Police reports indicate that firing was resorted to after baton charge and firing in the air failed to disperse the processionists who were pelting stones at the police.The incident occurred when over 5,000 villagers from the twin hamlets of Bragpora and Wutusa, came out on the streets in the morning protesting against what they alledged was a false encounter. Anantnag has been witnessing protests for the past week against the March 25 incident when five people were gunned down by police who claimed that these were militants involved in the Chattisinghpora massacre."
"25",2000-04-04,"Four persons were killed and three others were injured when masked militants opened fire on a taxi in Pulwama district, Jammu and Kashmir, on April 4."
"26",2000-04-07,"Three Islamic Front militants who were arrested on April 6 in Kathua district, were killed on April 7, while trying to escape from police custody. The incident occurred when the captured militants, who were taken to the border to recover hidden arms and explosives, tried to escape back to Pakistan. They were killed in the cross firing between Indian and Pakistani forces."
"27",2000-04-07,"Three militants of the Nationalist Socialist Council of Nagaland – Isak Muivah (NSCN–IM) are believed to be killed in a faction fight with the rival NSCN (Khaplang) faction on April 7. Only one body has been recovered from the jungle near Jotsoma village, the venue of the conflict."
"28",2000-04-07,"Three suspected underground activists were killed when they attacked a police patrol at the Irong Chesaba area, Imphal West district on April 7."
"29",2000-04-09,"Five foreign mercenaries of a Pakistan based militant outfit were killed in an encounter with the Army at Pazalpora, Baramulla district on April 9. A huge quantity of arms and ammunition were recovered from the slain militants."
"30",2000-04-09,"Four people including a BSF officer were killed in an encounter in Seer village in Tral area on April 9. The others killed in the incident included a militant and two civilians. Two civilians  were wounded."
"31",2000-04-09,"In another encounter on the same day, three militants and three paramilitary soldiers were killed in Nasu, near Bandipora town. Three soldiers and three civilians were wounded in the incident."
"32",2000-04-09,"Militants killed 11 labourers in Langthasou, Karbi Anglong district on April 9. The killers are from the UPDS, which is a joint body of the Karbi National Volunteers (KNV) and the Karbi People's Front (KPF)."
"33",2000-08-01,"Terrorists of the outlawed National Liberation Front of Tripura (NLFT) gunned down three persons and abducted five more in Induria Bazar, West Tripura district, on August 1."
"34",2000-08-01,"Two unidentified terrorists attacked a concentration of Amarnath pilgrims in Pahalgam town, on August 1. 18 pilgrims, four civilians and four security force personnel were killed in attack. Security forces shot dead both the terrorists involved in the attack."
"35",2000-08-10,"Unidentified terrorists launched a series of co-ordinated attacks in Srinagar, on august 10, beginning with a grenade attack outside a bank. As security forces and journalists crowded around the scene of the attack, a bomb placed in a car parked nearby exploded, killing 14 persons and injuring 42. Among those killed were nine police personnel and a journalist. Unconfirmed reports indicate that three army men were also killed in the blast. In conflicting statements, both the Lashkar-e Toiba and the Islamabad-spokesman of the Hizb-ul Mujahideen claimed responsibility for the blast."
"36",2000-08-11,"Five terrorists, members of the Lashkar-e Toiba, were killed in an encounter in Ratti Mitti, Rajouri district on August 11. The slain terrorists were part of a 12 member terrorist group that was attempting to infiltrate into India across the Line of Control. An officer of the security forces and another Rank was injured in the encounter that was continuing when last reports came in."
"37",2000-08-12,"In an another incident, four United Liberation Front of Asom (ULFA) terrorists were killed in an encounter on August 12."
"38",2000-08-12,"In another encounter in Bandipore, Baramulla district, three Pakistani mercenaries of the Harkat-ul-Jehad Islami were killed. In Kupwara district, two terrorists, suspected Pakistani mercenaries of the Harkat-ul-Jehad Islami, were killed in an encounter at Nowgam. Two Pakistani mercenaries, attempting to infiltrate across the Balnoi sector of the LoC, Poonch district, were killed in a separate incident."
"39",2000-08-13,"10 terrorists, suspected foreign mercenaries of the Lashkar-e Toiba, were killed in an encounter at the Nunkhel Pass, Udhampur district, on August 13."
"40",2000-08-13,"Four National Liberation Front of Tripura (NLFT) terrorists were killed in Alysiabari, South Tripura district on, August 13, delayed reports stated."
"41",2000-08-13,"Four terrorists of the United Liberation Front of Assam were killed in an encounter at Tinsukhia district on August 13. No details were available."
"42",2000-08-14,"On August 14, three civilians were killed by unidentified terrorists in Kot Dhara, Rajouri district."
"43",2000-08-17,"Unidentified terrorists in Jammu and Kashmir massacred six civilians in Kot Dhara, Rajouri district, on the evening of August 17."
"44",2000-08-19,"Unidentified terrorists, suspected to be foreign mercenary cadres of the Lashkar-e-Toiba, attacked four residences in Ind, Udhampur district, and killed six civilians, on August 19."
"45",2000-08-02,"Earlier on the evening of August 2, three terrorists, identified as members of the Tehreek-e-Jihad-e-Islami, were killed in an encounter in Taratpora, Kupwara district. In a separate encounter in Qazinag in the same district, two unidentified terrorists were killed. In a third encounter in Madoon, three foreign mercenaries––Pakistani nationals and their local guide were killed. A fourth foreign mercenary, also a Pakistani national, was killed in an encounter in Bela, Rajouri district. One terrorist, yet to be identified, one security force personnel and a civilian were killed in another encounter in Morha Bachchai, Poonch district."
"46",2000-08-02,"Four left wing extremists, Naxalites of the People’s War Group (PWG), were killed in an encounter in Dharmavaram, Ananthpur district, on August 2. A gun and two grenades were recovered from the slain extremists."
"47",2000-08-21,"Five suspected Lashkar-e Toiba terrorists were killed while attempting to infiltrate across the Line of Control (LoC) in the Shektaran forest, Baramulla district. In a similar incident, three terrorists, suspected foreign mercenaries of the Lashkar-e Toiba, were killed along the LoC at Chilyari in Kathua district. A huge haul of explosives, including Improvised Explosive Devices, was recovered from the site of the encounter."
"48",2000-08-21,"Four security personnel, including two senior officers, were killed while two others were injured in a landmine explosion perpetrated by unidentified terrorists in Jammu and Kashmir, at Warpora in Kupwara district, on August 21. While official sources maintain that the Lashkar-e Toiba was responsible for the attack, local speculation hinted at the possibility of the Harkat-e-Jihad-e-Islami organising the attack."
"49",2000-08-21,"In another attack by NDFB terrorists, five civilians were killed in Garobasra, Dhubri district. Members of the same outfit also launched an unsuccessful attack against a security force patrol in the same area. No casualties were, however, reported in this attack."
"50",2000-08-21,"In another attack, terrorists fired rockets at a security force camp in Banihal town, Doda district killing three security force personnel and injuring 12 more."
"51",2000-08-22,"Three mercenaries, suspected Pakistani cadre of the Al-Badr, were killed in an encounter in Sultan Pathri, Poonch district, on August 22. In another encounter in the Sawjian forests of Rajouri district, two unidentified terrorists were killed. In Kathari Galli, Udhampur district, two security force personnel were injured in an encounter."
"52",2000-08-23,"Three terrorists were killed in an encounter which followed an attack on a raiding party of security forces at Nongshylliang in Shillong, Meghalaya on August 23. Of the slain terrorists are two top members of the Khasi Students Union and one local commander of the Hynniewtrep National Liberation Council (HNLC)."
"53",2000-08-24,"Seven foreign mercenaries, Pakistani and Afghan members of the Jaish-e-Mohammed, were killed in an encounter at Salhurti, in Poonch district, on August 24. Three security force personnel sustained injuries in this encounter."
"54",2000-08-25,"Five persons were killed when a bomb, suspected to be planted by terrorists of the United Liberation Front of Asom, exploded in Lalfura, Kokrajhar district, on August 25. While two of those killed were security force personnel, the other three were tribal terrorist suspects who were arrested earlier from Durgamari and were being taken to Kokrajhar."
"55",2000-08-25,"Four left-wing extremists, Naxalites, including two women cadres of the Jana Shakti group, were killed in an encounter in Motupalli, Khammam district, on August 25. The encounter followed a security force search and raid operation in the village in the light of information that Naxalites were indulging in an extortion spree. Three other naxalites managed to escape from the scene of the encounter."
"56",2000-08-25,"Three terrorists, yet to be identified but suspected Lashkar-e Toiba cadres, were killed in an encounter in Bagla Gas, Poonch district, on August 25."
"57",2000-08-26,"On August 26, five terrorists and a Special Police Officer were killed in an encounter at the Katianwali forests of Kupwara district. Security forces suspect that two of the slain terrorists were Pakistani mercenaries of the Jaish-e-Mohammad including its chief of operations in Kashmir Zarrar Inqulabi. A third slain terrorist is suspected to be a Sudanese national."
"58",2000-08-29,"In another encounter at Chaktro Chandak in Poonch district, three foreign mercenaries were killed."
"59",2000-08-29,"In another incident, security forces retaliated when Pakistani troops began firing to facilitate an infiltration attempt by terrorists near Uri in Baramulla district. Security forces reported that four Pakistani soldiers and eight terrorists were killed in this firing targeted at some Pakistani barracks near the Line of Control that were being used to facilitate infiltration of terrorists into India. There were no casualties on the Indian side."
"60",2000-08-30,"Five bodies bearing bullet injury marks were recovered, on August 30, from Lalkhora, Garokhatra and Deodaba areas in Kokrajhar district. It was in the same area that a security force vehicle was targeted in a terrorist bomb attack on August 25, and five persons including two security force personnel were killed. Police are investigating the incident though they are yet to confirm if there are any links between the recovered bodies and the earlier bomb attack."
"61",2000-08-07,"Four unidentified terrorists, suspected Pakistani mercenaries and cadre of the Al-Badr terrorist outfit, were killed in an encounter in the Kolnar forests, Baramulla district, on August 7. In a separate encounter in Draman, Rajouri district, two foreign mercenaries, terrorists of the Lashkar-e Toiba, were killed. In a third encounter, in the Kushkidar forests of Baramulla district, one unidentified terrorist was killed."
"62",2000-08-07,"Meanwhile delayed reports said that three security force personnel were killed in an encounter at Kulnar in Baramulla district on August 7. As reported earlier, four foreign mercenaries, members of the Al-Badr, were killed in this encounter."
"63",2000-08-08,"In five separate encounters within Kupwara district, twelve terrorists including eight identified and suspected foreign mercenaries were killed since the night of August 7. Three terrorists were killed in an encounter at Mirnag forests on August 8. The killed terrorists have been identified as members of the Jamait-ul-Mujhadeen. In another encounter at Dardpora, two foreign mercenaries, members of the Jaish-e-Mohammad, were killed. Another unidentified terrorist, a suspected foreign mercenary, was killed in the Warsun forests. Three foreign mercenaries, identified as members of the Lashkar-e Toiba were killed at Devar. Another terrorist, suspected to be a Lashkar mercenary, was killed in an encounter at Handwara."
"64",2000-08-09,"Four National Liberation Front of Tripura (NLFT) terrorists were killed in an encounter with security forces in Karmipara, South Tripura district, on August 9. Arms and some incriminating documents were recovered from the scene of the encounter."
"65",2000-08-09,"Four terrorists, including two foreign mercenaries, were killed in separate encounters in Kupwara district, on August 9. A Tehreek-e-Jehad-e-Islami cadre was killed in an encounter in the Rangwar forests. A Pakistani mercenary was killed in Hundi, and a second, identified as a member of the Jaish-e-Mohammad, was killed in Safapora near Srinagar. Three security force personnel were injured in the attack. Meanwhile, a Lashkar-e Toiba terrorist, who was injured in an encounter in Rajwar, on August 8, succumbed to his injuries on August 9. As reported earlier, his associate too was killed in this encounter."
"66",2000-12-01,"In addition to the 16 persons killed by suspected ULFA terrorists on November 30, three more injured persons succumbed to bullet wounds."
"67",2000-12-10,"Terrorists of the National Democratic Front of Bodoland (NDFB) killed a former terrorist, his father and sister, and injured his wife at Dimakuchi village in Darrang district."
"68",2000-12-10,"Unidentified terrorists attacked an Army camp in Srinagar with rifle grenades. There were no casualties or damage. The Jaish-e-Mohammad claimed responsibility for this attack."
"69",2000-12-11,"Five terrorists and a security force personnel were killed in an encounter which ensued after a security force patrol was attacked by a group of terrorists in Jammu and Kashmir at Kalali, Poonch district, on December 11. One of the slain terrorists was identified as a Pakistani mercenary and local commander of the Hizb-ul-Mujahideen. Security forces suspect that the other four terrorists, yet to be identified, too, are Pakistani mercenaries of the Hizb. A security force personnel sustained injuries in the encounter. Two more terrorists are suspected to be trapped in the on-going encounter"
"70",2000-12-12,"In an internecine conflict between two Bodo terrorist outfits on December 12, 11 terrorists of the Bodo Liberation Tigers (BLT) were killed by terrorists of the National Democratic Front of Boroland (NDFB) in Barpeta district. According to police sources, the BLT terrorists, who are on a cease-fire agreement with the Union government, were attacked by NDFB terrorists at Rangidhara village. While nine died on the spot, two others succumbed to their injuries later."
"71",2000-12-13,"Four persons were abducted and later killed by leftwing extremists, Naxalites of the Maoist Communist Centre (MCC), in Gaghra, Chatra district, on December 13."
"72",2000-12-13,"Unidentified terrorists in Manipur shot dead three security force personnel, on December 13, in Jiribam, Imphal West district."
"73",2000-12-14,"A security force personnel and two civilians were killed when unidentified terrorists in Jammu and Kashmir targeted a passing security force convoy with an Improvised Explosive Device (IED) in Sopore, Baramulla district, on December 14. An officer, the principal target, three of his security guards and 15 civilians sustained injuries in the explosion."
"74",2000-12-14,"On December 14, four persons were killed by leftwing extremists, Naxalites of the Maoist Communist Centre (MCC), in Masaria village, Gumla district. According to police sources, the four victims were supporters of a group believed to be behind the killing of four tribal MCC supporters in Burhu village, on November 30."
"75",2000-12-18,"Four civilians, including two girls, were killed and 14 others injured in a bomb blast in a bus in Wokha district on December 18. The bus was carrying students home for Christmas holidays. No details on the attackers were known."
"76",2000-12-18,"Unidentified terrorists killed four persons in Thoubal district in Manipur on December 18. According to official sources the terrorists lined up the victims and killed them one by one."
"77",2000-12-02,"Unidentified terrorists in Jammu and Kashmir killed four children, all members of a family, three of them girls, in Jamsalan, near Chajroo, Mahore, Udhampur, on December 2. Two more persons were wounded in the terrorist attack. They had fled into the adjoining forests after security force personnel stationed at a nearby location reached the village and opened fire. Security forces launched a massive 'search and destroy' operation in the forests surrounding the village."
"78",2000-12-20,"Nine persons, including six terrorists, were killed in different incidents in Manipur on December 20. Three terrorists belonging to the People’s Liberation Army (PLA) were killed following a raid by security forces in Chandel district."
"79",2000-12-20,"On December 20, four NDFB terrorists were killed in an encounter inside the Manas National Park in Bongaigaon district. The security forces, after a tip-off, laid an ambush and intercepted and killed the four terrorists who were coming from Bhutan. Some arms, ammunition and documents were recovered from site of the incident."
"80",2000-12-20,"Three unidentified terrorists were killed in an encounter with security forces in Thoubal district. Four terrorists were arrested in these encounters. Some arms and ammunition were also recovered from the site of the incidents."
"81",2000-12-21,"In an encounter between security forces and infiltrators at Nund, near Samba, on December 21, three infiltrators, all suspected Pakistani nationals, were killed. Four more escaped the scene of the encounter and are believed to be hiding in the adjoining Chilla Danga forests. Six security force personnel, including an officer, were seriously injured in the encounter. A large cache of arms and ammunition were recovered from the site of the encounter."
"82",2000-12-21,"In the first incident, the terrorists attacked and killed nine Bhutanese and one Nepali at Namlang road in Barpeta district. In another incident, NDFB terrorists killed another Bhutanese at Bengbari in Darrang district. In a separate incident of fratricidal clash, the NDFB terrorists killed five terrorists of the Bodo Liberation Tigers (BLT) in Nalbari district. Security forces have launched a search and cordon operation in the districts of Barpeta, Nalbari and Darrang to arrest the terrorists."
"83",2000-12-21,"On December 21, 16 civilians, including 10 Bhutanese were killed and another was injured by terrorists belonging to the National Democratic Front of Bodoland (NDFB) in separate incidents in lower Assam."
"84",2000-12-22,"Three security force personnel were killed by a two-member Fidayeen squad of the Lashkar-e-Taiba (LeT) at the Red Fort area in Delhi on December 22. The LeT in a statement on the same day from Srinagar claimed responsibility for the attack. Meanwhile, the security force personnel have launched a search and cordon operation amidst reports of the terrorists' presence in the area."
"85",2000-12-23,"A couple and a SPO were killed and a child of the couple was injured in an exchange of fire between Hizb terrorists and security forces at Keshwan in Doda district."
"86",2000-12-23,"On December 23, four people, including two security force personnel, were killed in an ambush and subsequent shoot-out by terrorists of the National Liberation Front of Tripura (NLFT) in Agartala."
"87",2000-12-23,"On December 23, three counter-insurgents, Ikhwanis, a police officer and a driver were killed as Hizb-ul-Mujahideen (HM) terrorists ambushed a passenger van on its way to the Wailoo camp of security forces from the district headquarters of Anantnag, at Sagam village. Security forces claimed to have injured at least one terrorist in the subsequent operation."
"88",2000-12-26,"A news report citing unofficial sources said four security force personnel were killed and seven more injured in an ambush by unidentified terrorists in Jammu and Kashmir, in Potshai, Kupwara district, on December 26. Official sources have not confirmed the incident."
"89",2000-12-28,"In a fresh attack on the people of non-Assamese origin in the State, suspected terrorists of the United People’s Democratic Solidarity (UPDS) killed eight Hindi-speaking persons, including a woman and two children, at Ranganagar village in Karbi Anglong Hills district on December 28. According to police sources, the armed terrorists opened indiscriminate firing on the villagers in which seven persons were killed on the spot while one died later. A massive combing operation has been launched to nab the terrorists."
"90",2000-12-28,"Nine persons, including a security force personnel, were killed and four more security force personnel injured during an encounter with unidentified terrorists on December 28, in Tamenglong district. According to official sources the incident took place when a patrol party of the security forces was attacked by the terrorists."
"91",2000-12-28,"On December 28, nine foreign terrorists, mercenaries, including three Pakistani nationals were killed in separate encounters in Jammu and Kashmir. Three Pakistani terrorists including a hitman of the Inter-Services Intelligence (ISI) of Pakistan and ‘second-in-command’ of Khalistan Zindabad Force (KZF) were killed in an encounter at Dablehar village. A large quantity of arms and ammunition were recovered from their possession. The KZF terrorist was wanted in connection with more than 20 bomb blasts in different parts of the region. Three security force personnel were injured in the operation."
"92",2000-12-28,"On December 28, three persons were killed and six injured in firing by the security forces at Nagarsingmari village near the India-Bangladesh border in West Bengal's Jalpaiguri district. According to reports, the killed were trying to help Bangladeshis illegally enter Indian territory."
"93",2000-12-31,"On December 31, four Indian villagers, including a woman and a child, were killed by an unidentified terrorist group from Bangladesh at Irani, a border village in the north district. According to reports, the terrorists later escaped to Sylhet, in Assam."
"94",2000-12-31,"On December 31, four persons were killed and another injured by suspected terrorists of the United Peoples’ Democratic Solidarity (UPDS) at Disobai forest in Karbi Anglong disrict. The four civilians killed were members of the Hindi speaking community in the State,"
"95",2000-12-04,"Security forces reported that six personnel and two suicide squad members, Fidayeen of the Lashkar-e-Toiba (LeT) were killed in the suicide attack at the Central Reserve Police Force (CRPF) camp in Anantnag district on December 4."
"96",2000-12-04,"Two terrorists launched an attack after storming into a security force camp in Anantnag, on December 4. Security forces confirmed that a terrorist and a security force personnel were killed in the attack that was continuing when reports last came in. Unofficial media sources, however, put the death tally at one terrorist and five security force personnel, while seven security force personnel were injured. The fate of the other terrorist is not yet known. Media reports have also said that the Lashkar-e-Toiba (LeT) has claimed responsibility for the attack."
"97",2000-12-06,"In the third incident, terrorists of National Democratic Front of Bodoland (NDFB) killed three civilians, woodcutters, in Moinaguri reserve forest in Kokrajhar district."
"98",2000-12-06,"Security forces said on December 6 that 12 persons were killed on the International Border at Sangrala in Jammu district. The incident occurred when Border Security Force (BSF) personnel detected a large group attempting to illegally cross the border from Pakistan into India. When challenged the group attempted to flee leading to firing by security forces. Later, 12 bodies were recovered from the area. Security forces suspect that the group could be agents of Pakistan's Inter Services Intelligence though news reports suggest that the group could be illegal Bangladeshi migrants. No arms were reported to have been recovered from the area."
"99",2000-12-07,"In another massacre targeting the non-Assamese community in the State, twenty-eight Hindi-speaking people were killed and fourteen others injured by unidentified terrorists in a forest area near Sadiya along the Indo-Myanmar border on December 7. Most of the victims were petty traders and farm workers from Bihar. The victims were travelling in truck when the incident occurred. This is the ninth attack on Hindi-speaking migrants since October 21."
"100",2000-12-08,"On the night of December 8, one security force personnel and two terrorists were killed in an encounter at Kot Kuba in the RS Pora sector of the India Pakistan border. The encounter ensued after security forces detected a group of terrorists attempting to infiltrate into India from across the border. Security forces suspected that the infiltrators were Pakistani mercenaries of the Lashkar-e-Toiba."
"101",2000-02-29,"The Army, Central Reserve Police Force and the police launched a joint operation in Nalbari, Kamrup and Barpeta districts to clear pockets infested with ULFA militants. On February 29, three ULFA militants belonging to its Rhino Group were killed in the operation."
"102",2000-07-01,"United People's Democratic Solidarity (UPDS) terrorists gunned down three persons and seriously injured two others in Karbi Anglong district, on July 1."
"103",2000-07-11,"Security forces personnel killed three terrorists in Jammu and Kashmir, in an exchange of fire near Waykul, near Diwar. Two more terrorists were killed on July 11, in an encounter in Pohodalb, near Panzgam. In another incident, a woman was killed by terrorists in Bau Damhal-Hanjipora. Security forces exchanged fire with terrorists in Gasren-Kulgam. A militant was injured in the incident."
"104",2000-07-11,"Security forces raided a terrorist camp near Jiribam, on the Assam-Manipur border, Tamenglong district, on July 11 and killed 12 terrorists; the identity of those killed is yet to be established. A huge cache of arms and ammunition of various makes were recovered from the camp."
"105",2000-07-13,"Three terrorists, including two Pakistani nationals, were killed in an encounter in Liran, Rajouri district, on July 13 during night. In another encounter in Katari Gali, Doda district, one more terrorist was killed. All the four belonged to the Hizb-ul Mujahideen. In another incident, two terrorists and two security forces personnel were killed in an encounter in the Hafrada forests, Kupwara district. Also, three security forces personnel were injured in the encounter."
"106",2000-07-15,"Terrorists of the United People's Democratic Solidarity (UPDS) killed ten persons, including two women and four children at Langparpang, Karbi Anglong district on July 15."
"107",2000-07-16,"In another incident, three terrorists of the United Liberation Front of Asom (ULFA) and a security force personnel were killed in an encounter at Balapara-Kawoimari area of Barpeta district on July 16."
"108",2000-07-18,"Earlier, on the night of July 18, three unidentified terrorists and one security force personnel were killed in an encounter at Tarhama in Baramulla district. In another encounter at Machil, Kupwara district, one unidentified terrorist was killed."
"109",2000-07-19,"Six terrorists of the Harkat-ul-Jehad-e-Islami, including its Jammu chief, Mohammad Afzal alias Abu Umer, were killed in an encounter on July 19 at Nealli village, near Manjakote, Rajouri district, near the Line of Control. The infiltrating terrorists were detected while they were taking shelter in Nealli. One security force officer too was killed in the encounter. A search has been launched to capture the remaining terrorists who escaped from the scene of the encounter."
"110",2000-07-19,"Two terrorists and one security force personnel were killed in an encounter in Sunderbani, Rajouri district, on July 19. In another encounter, at Nik Manjodi in Poonch district, one security force personnel was killed and one civilian was injured. In the same district, one foreign mercenary of the Harkat-ul-Jehadi Islami was killed in a separate encounter at Shara-Mohra."
"111",2000-07-20,"Another encounter in the same district, three foreign mercenaries, including two belonging to the Al-Badr terrorist outfit and a Lashkar-e-Toiba cadre, were killed in the Kahshora forest."
"112",2000-07-20,"Four terrorists, including three foreign mercenaries, were killed in an encounter in Dadri Gali, Kupwara district, on July 20."
"113",2000-07-20,"Three more bodies were recovered on July 21 from the scene of an encounter that occurred on July 20 between police and Left-wing extremists, Naxalites of the Janashakti group of the Communist Party of India (Marxist-Leninist) [CPI (ML)], in Nukalamarri, Karimnagar district. The killing of four top Naxalites in this encounter has already been reported."
"114",2000-07-22,"Three unidentified terrorists were killed in an encounter near the Line of Control (LoC) in the Handwara sector, Kupwara district, on July 22. A fourth, also unidentified, was killed in a separate encounter at Kaunsarnag in Anantnag district. One terrorist of the Hizb-ul Mujahideen surrendered in Badgam district."
"115",2000-07-23,"On the night of July 23, four terrorists were killed in an encounter in Trisal, Pulwama district. In a separate encounter in Sumnag, Kupwara district, two foreign mercenaries were killed. Two more foreign mercenaries were killed in a third encounter in Kaklossa, Kupwara district."
"116",2000-07-24,"Five terrorists were killed in an encounter near Tragbal, on the Bandipore-Gurez road, on July 24. The encounter was continuing when reports came in last, at midnight on July 24. Casualties among security forces have been reported yet. The slain terrorists are suspected to be members of the Lashkar-e-Toiba."
"117",2000-07-25,"Five terrorists including four suspected foreign mercenaries were killed in an encounter at Chandaji Peth Bahak in Bandipore, on July 25."
"118",2000-07-26,"Eight mercenaries, suspected to be Pakistani nationals and members of the Lashkar-e-Toiba, were killed in an encounter at Chand Post, Rajouri district, on July 26. The mercenaries were detected when they had just infiltrated across the Line of Control. A ninth terrorist was killed in a separate encounter in Kalakote in the same district."
"119",2000-07-27,"Five security force personnel and two terrorists of the Harkat-ul Jehad Islami (HUJI) were killed in an encounter in Mathiyani, Rajouri district, on July 27."
"120",2000-07-27,"Four security force personnel and three top Harkat-ul-Jehadi-Islami terrorists were killed in an encounter in Dharamshala, Rajouri district, on July 27. Five more terrorists and a civilian were killed in four other militancy-related incidents, in the Rajouri, Kathua and Poonch districts, since the evening of July 27."
"121",2000-07-30,"Four security force personnel were killed while four others were seriously injured in an ambush laid by suspected National Socialist Council of Nagaland--Isak-Muivah (NSCN-IM) terrorists on a security force convoy in Senapati district, on July 30."
"122",2000-07-30,"Six army personnel were killed and seven others injured when two terrorists entered and opened fire in an army camp near Bandipore, on July 30. The two terrorists escaped from the scene after the carnage. The Lashkar-e Toiba has claimed responsibility for the attack."
"123",2000-07-31,"Suspected Bodo terrorists on July 31 blew up two bogies of passenger train bound for Rangiya at Soonmari, about 60 km from Guwahati, killing 14 passengers."
"124",2000-07-09,"In an encounter between security forces and militants in Pahloo village, Anantnag district, four militants and a civilian were killed."
"125",2000-06-10,"On the night of June 10, three terrorists were killed in an encounter at Behrote village, Poonch district."
"126",2000-06-11,"Five militants attempting to infiltrate across the Line of Control were killed by security forces. While two were killed in Ghulta sector of Rajouri district, the other three were killed in Kumb Kari, Kupwara district."
