"","uid","date","incident text","district","state","attributed organizations"
"24",24,"2000-04-03","seven people were killed and 11 injured when police fired on protestors in anantnag district. police reports indicate that firing was resorted to after baton charge and firing in the air failed to disperse the processionists who were pelting stones at the police.the incident occurred when over 5,000 villagers from the twin hamlets of bragpora and wutusa, came out on the streets in the morning protesting against what they alledged was a false encounter. anantnag has been witnessing protests for the past week against the march 25 incident when five people were gunned down by police who claimed that these were militants involved in the chattisinghpora massacre.","anantnag","jammu and kashmir",NA
"25",25,"2000-04-04","four persons were killed and three others were injured when masked militants opened fire on a taxi in pulwama district, jammu and kashmir, on april 4.","jammu","jammu and kashmir","hizbul mujahideen"
"26",26,"2000-04-07","three islamic front militants who were arrested on april 6 in kathua district, were killed on april 7, while trying to escape from police custody. the incident occurred when the captured militants, who were taken to the border to recover hidden arms and explosives, tried to escape back to pakistan. they were killed in the cross firing between indian and pakistani forces.","kathua","jammu and kashmir","harkatul ansar"
"27",27,"2000-04-07","three militants of the nationalist socialist council of nagaland – isak muivah (nscn–im) are believed to be killed in a faction fight with the rival nscn (khaplang) faction on april 7. only one body has been recovered from the jungle near jotsoma village, the venue of the conflict.",NA,"nagaland","people’s liberation army of manipur"
"28",28,"2000-04-07","three suspected underground activists were killed when they attacked a police patrol at the irong chesaba area, imphal west district on april 7.",NA,NA,NA
"29",29,"2000-04-09","five foreign mercenaries of a pakistan based militant outfit were killed in an encounter with the army at pazalpora, baramulla district on april 9. a huge quantity of arms and ammunition were recovered from the slain militants.","baramulla","jammu and kashmir",NA
"30",30,"2000-04-09","four people including a bsf officer were killed in an encounter in seer village in tral area on april 9. the others killed in the incident included a militant and two civilians. two civilians  were wounded.",NA,NA,NA
"31",31,"2000-04-09","in another encounter on the same day, three militants and three paramilitary soldiers were killed in nasu, near bandipora town. three soldiers and three civilians were wounded in the incident.","bandipora","jammu and kashmir",NA
"32",32,"2000-04-09","militants killed 11 labourers in langthasou, karbi anglong district on april 9. the killers are from the upds, which is a joint body of the karbi national volunteers (knv) and the karbi people's front (kpf).",NA,NA,NA
"33",33,"2000-08-01","terrorists of the outlawed national liberation front of tripura (nlft) gunned down three persons and abducted five more in induria bazar, west tripura district, on august 1.",NA,"tripura","national liberation front of tripura"
"34",34,"2000-08-01","two unidentified terrorists attacked a concentration of amarnath pilgrims in pahalgam town, on august 1. 18 pilgrims, four civilians and four security force personnel were killed in attack. security forces shot dead both the terrorists involved in the attack.",NA,NA,NA
"35",35,"2000-08-10","unidentified terrorists launched a series of co ordinated attacks in srinagar, on august 10, beginning with a grenade attack outside a bank. as security forces and journalists crowded around the scene of the attack, a bomb placed in a car parked nearby exploded, killing 14 persons and injuring 42. among those killed were nine police personnel and a journalist. unconfirmed reports indicate that three army men were also killed in the blast. in conflicting statements, both the lashkar e toiba and the islamabad spokesman of the hizb ul mujahideen claimed responsibility for the blast.","srinagar","jammu and kashmir","hizbul mujahideen"
"36",36,"2000-08-11","five terrorists, members of the lashkar e toiba, were killed in an encounter in ratti mitti, rajouri district on august 11. the slain terrorists were part of a 12 member terrorist group that was attempting to infiltrate into india across the line of control. an officer of the security forces and another rank was injured in the encounter that was continuing when last reports came in.","rajouri","jammu and kashmir","lashkar e taiba"
"37",37,"2000-08-12","in an another incident, four united liberation front of asom (ulfa) terrorists were killed in an encounter on august 12.",NA,NA,"united liberation front of assam "
"38",38,"2000-08-12","in another encounter in bandipore, baramulla district, three pakistani mercenaries of the harkat ul jihad islami were killed. in kupwara district, two terrorists, suspected pakistani mercenaries of the harkat ul jihad islami, were killed in an encounter at nowgam. two pakistani mercenaries, attempting to infiltrate across the balnoi sector of the loc, poonch district, were killed in a separate incident.","baramulla","jammu and kashmir",NA
"39",39,"2000-08-13","10 terrorists, suspected foreign mercenaries of the lashkar e toiba, were killed in an encounter at the nunkhel pass, udhampur district, on august 13.","udhampur","jammu and kashmir","lashkar e taiba"
"40",40,"2000-08-13","four national liberation front of tripura (nlft) terrorists were killed in alysiabari, south tripura district on, august 13, delayed reports stated.",NA,"tripura","national liberation front of tripura"
"41",41,"2000-08-13","four terrorists of the united liberation front of assam were killed in an encounter at tinsukhia district on august 13. no details were available.",NA,"assam",NA
"42",42,"2000-08-14","on august 14, three civilians were killed by unidentified terrorists in kot dhara, rajouri district.","rajouri","jammu and kashmir",NA
"43",43,"2000-08-17","unidentified terrorists in jammu and kashmir massacred six civilians in kot dhara, rajouri district, on the evening of august 17.","jammu","jammu and kashmir","hizbul mujahideen"
"44",44,"2000-08-19","unidentified terrorists, suspected to be foreign mercenary cadres of the lashkar e toiba, attacked four residences in ind, udhampur district, and killed six civilians, on august 19.","udhampur","jammu and kashmir","lashkar e taiba"
"45",45,"2000-08-02","earlier on the evening of august 2, three terrorists, identified as members of the tehrik e jihad e islami, were killed in an encounter in taratpora, kupwara district. in a separate encounter in qazinag in the same district, two unidentified terrorists were killed. in a third encounter in madoon, three foreign mercenaries––pakistani nationals and their local guide were killed. a fourth foreign mercenary, also a pakistani national, was killed in an encounter in bela, rajouri district. one terrorist, yet to be identified, one security force personnel and a civilian were killed in another encounter in morha bachchai, poonch district.","kupwara","jammu and kashmir",NA
"46",46,"2000-08-02","four left wing extremists, naxalites of the people’s war group (pwg), were killed in an encounter in dharmavaram, ananthpur district, on august 2. a gun and two grenades were recovered from the slain extremists.",NA,NA,"communist party of india (maoist)"
"47",47,"2000-08-21","five suspected lashkar e toiba terrorists were killed while attempting to infiltrate across the line of control (loc) in the shektaran forest, baramulla district. in a similar incident, three terrorists, suspected foreign mercenaries of the lashkar e toiba, were killed along the loc at chilyari in kathua district. a huge haul of explosives, including improvised explosive devices, was recovered from the site of the encounter.","baramulla","jammu and kashmir","harkatul ansar"
"48",48,"2000-08-21","four security personnel, including two senior officers, were killed while two others were injured in a landmine explosion perpetrated by unidentified terrorists in jammu and kashmir, at warpora in kupwara district, on august 21. while official sources maintain that the lashkar e toiba was responsible for the attack, local speculation hinted at the possibility of the harkat e jihad e islami organising the attack.","jammu","jammu and kashmir","hizbul mujahideen"
"49",49,"2000-08-21","in another attack by ndfb terrorists, five civilians were killed in garobasra, dhubri district. members of the same outfit also launched an unsuccessful attack against a security force patrol in the same area. no casualties were, however, reported in this attack.",NA,NA,"national democratic front of bodoland "
"50",50,"2000-08-21","in another attack, terrorists fired rockets at a security force camp in banihal town, doda district killing three security force personnel and injuring 12 more.","doda","jammu and kashmir",NA
"51",51,"2000-08-22","three mercenaries, suspected pakistani cadre of the al badr, were killed in an encounter in sultan pathri, poonch district, on august 22. in another encounter in the sawjian forests of rajouri district, two unidentified terrorists were killed. in kathari galli, udhampur district, two security force personnel were injured in an encounter.","poonch","jammu and kashmir",NA
"52",52,"2000-08-23","three terrorists were killed in an encounter which followed an attack on a raiding party of security forces at nongshylliang in shillong, meghalaya on august 23. of the slain terrorists are two top members of the khasi students union and one local commander of the hynniewtrep national liberation council (hnlc).",NA,"meghalaya",NA
"53",53,"2000-08-24","seven foreign mercenaries, pakistani and afghan members of the jaish e mohammed, were killed in an encounter at salhurti, in poonch district, on august 24. three security force personnel sustained injuries in this encounter.","poonch","jammu and kashmir",NA
"54",54,"2000-08-25","five persons were killed when a bomb, suspected to be planted by terrorists of the united liberation front of asom, exploded in lalfura, kokrajhar district, on august 25. while two of those killed were security force personnel, the other three were tribal terrorist suspects who were arrested earlier from durgamari and were being taken to kokrajhar.",NA,NA,"people’s liberation army of manipur"
"55",55,"2000-08-25","four left wing extremists, naxalites, including two women cadres of the jana shakti group, were killed in an encounter in motupalli, khammam district, on august 25. the encounter followed a security force search and raid operation in the village in the light of information that naxalites were indulging in an extortion spree. three other naxalites managed to escape from the scene of the encounter.",NA,NA,"communist party of india (maoist)"
"56",56,"2000-08-25","three terrorists, yet to be identified but suspected lashkar e toiba cadres, were killed in an encounter in bagla gas, poonch district, on august 25.","poonch","jammu and kashmir","lashkar e taiba"
"57",57,"2000-08-26","on august 26, five terrorists and a special police officer were killed in an encounter at the katianwali forests of kupwara district. security forces suspect that two of the slain terrorists were pakistani mercenaries of the jaish e mohammad including its chief of operations in kashmir zarrar inqulabi. a third slain terrorist is suspected to be a sudanese national.","kupwara","jammu and kashmir","hizbul mujahideen"
"58",58,"2000-08-29","in another encounter at chaktro chandak in poonch district, three foreign mercenaries were killed.","poonch","jammu and kashmir",NA
"59",59,"2000-08-29","in another incident, security forces retaliated when pakistani troops began firing to facilitate an infiltration attempt by terrorists near uri in baramulla district. security forces reported that four pakistani soldiers and eight terrorists were killed in this firing targeted at some pakistani barracks near the line of control that were being used to facilitate infiltration of terrorists into india. there were no casualties on the indian side.","baramulla","jammu and kashmir",NA
"60",60,"2000-08-30","five bodies bearing bullet injury marks were recovered, on august 30, from lalkhora, garokhatra and deodaba areas in kokrajhar district. it was in the same area that a security force vehicle was targeted in a terrorist bomb attack on august 25, and five persons including two security force personnel were killed. police are investigating the incident though they are yet to confirm if there are any links between the recovered bodies and the earlier bomb attack.",NA,NA,NA
"61",61,"2000-08-07","four unidentified terrorists, suspected pakistani mercenaries and cadre of the al badr terrorist outfit, were killed in an encounter in the kolnar forests, baramulla district, on august 7. in a separate encounter in draman, rajouri district, two foreign mercenaries, terrorists of the lashkar e toiba, were killed. in a third encounter, in the kushkidar forests of baramulla district, one unidentified terrorist was killed.","baramulla","jammu and kashmir","al badr "
"62",62,"2000-08-07","meanwhile delayed reports said that three security force personnel were killed in an encounter at kulnar in baramulla district on august 7. as reported earlier, four foreign mercenaries, members of the al badr, were killed in this encounter.","baramulla","jammu and kashmir",NA
"63",63,"2000-08-08","in five separate encounters within kupwara district, twelve terrorists including eight identified and suspected foreign mercenaries were killed since the night of august 7. three terrorists were killed in an encounter at mirnag forests on august 8. the killed terrorists have been identified as members of the jamait ul mujhadeen. in another encounter at dardpora, two foreign mercenaries, members of the jaish e mohammad, were killed. another unidentified terrorist, a suspected foreign mercenary, was killed in the warsun forests. three foreign mercenaries, identified as members of the lashkar e toiba were killed at devar. another terrorist, suspected to be a lashkar mercenary, was killed in an encounter at handwara.","kupwara","jammu and kashmir","lashkar e taiba"
"64",64,"2000-08-09","four national liberation front of tripura (nlft) terrorists were killed in an encounter with security forces in karmipara, south tripura district, on august 9. arms and some incriminating documents were recovered from the scene of the encounter.",NA,"tripura","national liberation front of tripura"
"65",65,"2000-08-09","four terrorists, including two foreign mercenaries, were killed in separate encounters in kupwara district, on august 9. a tehrik e jihad e islami cadre was killed in an encounter in the rangwar forests. a pakistani mercenary was killed in hundi, and a second, identified as a member of the jaish e mohammad, was killed in safapora near srinagar. three security force personnel were injured in the attack. meanwhile, a lashkar e toiba terrorist, who was injured in an encounter in rajwar, on august 8, succumbed to his injuries on august 9. as reported earlier, his associate too was killed in this encounter.","kupwara","jammu and kashmir","lashkar e taiba"
"66",66,"2000-12-01","in addition to the 16 persons killed by suspected ulfa terrorists on november 30, three more injured persons succumbed to bullet wounds.",NA,NA,"united liberation front of assam "
"67",67,"2000-12-10","terrorists of the national democratic front of bodoland (ndfb) killed a former terrorist, his father and sister, and injured his wife at dimakuchi village in darrang district.",NA,NA,NA
"68",68,"2000-12-10","unidentified terrorists attacked an army camp in srinagar with rifle grenades. there were no casualties or damage. the jaish e mohammad claimed responsibility for this attack.","srinagar","jammu and kashmir","jaish e mohammad"
"69",69,"2000-12-11","five terrorists and a security force personnel were killed in an encounter which ensued after a security force patrol was attacked by a group of terrorists in jammu and kashmir at kalali, poonch district, on december 11. one of the slain terrorists was identified as a pakistani mercenary and local commander of the hizb ul mujahideen. security forces suspect that the other four terrorists, yet to be identified, too, are pakistani mercenaries of the hizb. a security force personnel sustained injuries in the encounter. two more terrorists are suspected to be trapped in the on going encounter","jammu","jammu and kashmir","hizbul mujahideen"
"70",70,"2000-12-12","in an internecine conflict between two bodo terrorist outfits on december 12, 11 terrorists of the bodo liberation tigers (blt) were killed by terrorists of the national democratic front of boroland (ndfb) in barpeta district. according to police sources, the blt terrorists, who are on a cease fire agreement with the union government, were attacked by ndfb terrorists at rangidhara village. while nine died on the spot, two others succumbed to their injuries later.",NA,NA,"national democratic front of bodoland "
"71",71,"2000-12-13","four persons were abducted and later killed by leftwing extremists, naxalites of the maoist communist centre (mcc), in gaghra, chatra district, on december 13.",NA,NA,"communist party of india (maoist)"
"72",72,"2000-12-13","unidentified terrorists in manipur shot dead three security force personnel, on december 13, in jiribam, imphal west district.",NA,"manipur",NA
"73",73,"2000-12-14","a security force personnel and two civilians were killed when unidentified terrorists in jammu and kashmir targeted a passing security force convoy with an improvised explosive device (ied) in sopore, baramulla district, on december 14. an officer, the principal target, three of his security guards and 15 civilians sustained injuries in the explosion.","baramulla","jammu and kashmir","hizbul mujahideen"
"74",74,"2000-12-14","on december 14, four persons were killed by leftwing extremists, naxalites of the maoist communist centre (mcc), in masaria village, gumla district. according to police sources, the four victims were supporters of a group believed to be behind the killing of four tribal mcc supporters in burhu village, on november 30.",NA,NA,"communist party of india (maoist)"
"75",75,"2000-12-18","four civilians, including two girls, were killed and 14 others injured in a bomb blast in a bus in wokha district on december 18. the bus was carrying students home for christmas holidays. no details on the attackers were known.",NA,NA,NA
"76",76,"2000-12-18","unidentified terrorists killed four persons in thoubal district in manipur on december 18. according to official sources the terrorists lined up the victims and killed them one by one.",NA,"manipur",NA
"77",77,"2000-12-02","unidentified terrorists in jammu and kashmir killed four children, all members of a family, three of them girls, in jamsalan, near chajroo, mahore, udhampur, on december 2. two more persons were wounded in the terrorist attack. they had fled into the adjoining forests after security force personnel stationed at a nearby location reached the village and opened fire. security forces launched a massive 'search and destroy' operation in the forests surrounding the village.","jammu","jammu and kashmir","hizbul mujahideen"
"78",78,"2000-12-20","nine persons, including six terrorists, were killed in different incidents in manipur on december 20. three terrorists belonging to the people’s liberation army (pla) were killed following a raid by security forces in chandel district.",NA,"manipur","people’s liberation army of manipur"
"79",79,"2000-12-20","on december 20, four ndfb terrorists were killed in an encounter inside the manas national park in bongaigaon district. the security forces, after a tip off, laid an ambush and intercepted and killed the four terrorists who were coming from bhutan. some arms, ammunition and documents were recovered from site of the incident.",NA,NA,"national democratic front of bodoland "
"80",80,"2000-12-20","three unidentified terrorists were killed in an encounter with security forces in thoubal district. four terrorists were arrested in these encounters. some arms and ammunition were also recovered from the site of the incidents.",NA,NA,NA
"81",81,"2000-12-21","in an encounter between security forces and infiltrators at nund, near samba, on december 21, three infiltrators, all suspected pakistani nationals, were killed. four more escaped the scene of the encounter and are believed to be hiding in the adjoining chilla danga forests. six security force personnel, including an officer, were seriously injured in the encounter. a large cache of arms and ammunition were recovered from the site of the encounter.","samba","jammu and kashmir",NA
"82",82,"2000-12-21","in the first incident, the terrorists attacked and killed nine bhutanese and one nepali at namlang road in barpeta district. in another incident, ndfb terrorists killed another bhutanese at bengbari in darrang district. in a separate incident of fratricidal clash, the ndfb terrorists killed five terrorists of the bodo liberation tigers (blt) in nalbari district. security forces have launched a search and cordon operation in the districts of barpeta, nalbari and darrang to arrest the terrorists.",NA,NA,"national democratic front of bodoland "
"83",83,"2000-12-21","on december 21, 16 civilians, including 10 bhutanese were killed and another was injured by terrorists belonging to the national democratic front of bodoland (ndfb) in separate incidents in lower assam.",NA,"assam",NA
"84",84,"2000-12-22","three security force personnel were killed by a two member fidayeen squad of the lashkar e taiba (let) at the red fort area in delhi on december 22. the let in a statement on the same day from srinagar claimed responsibility for the attack. meanwhile, the security force personnel have launched a search and cordon operation amidst reports of the terrorists' presence in the area.","srinagar","jammu and kashmir","lashkar e taiba"
"85",85,"2000-12-23","a couple and a spo were killed and a child of the couple was injured in an exchange of fire between hizb terrorists and security forces at keshwan in doda district.","doda","jammu and kashmir",NA
"86",86,"2000-12-23","on december 23, four people, including two security force personnel, were killed in an ambush and subsequent shoot out by terrorists of the national liberation front of tripura (nlft) in agartala.",NA,"tripura","national liberation front of tripura"
"87",87,"2000-12-23","on december 23, three counter insurgents, ikhwanis, a police officer and a driver were killed as hizb ul mujahideen (hm) terrorists ambushed a passenger van on its way to the wailoo camp of security forces from the district headquarters of anantnag, at sagam village. security forces claimed to have injured at least one terrorist in the subsequent operation.","anantnag","jammu and kashmir","hizbul mujahideen"
"88",88,"2000-12-26","a news report citing unofficial sources said four security force personnel were killed and seven more injured in an ambush by unidentified terrorists in jammu and kashmir, in potshai, kupwara district, on december 26. official sources have not confirmed the incident.","jammu","jammu and kashmir","hizbul mujahideen"
"89",89,"2000-12-28","in a fresh attack on the people of non assamese origin in the state, suspected terrorists of the united people’s democratic solidarity (upds) killed eight hindi speaking persons, including a woman and two children, at ranganagar village in karbi anglong hills district on december 28. according to police sources, the armed terrorists opened indiscriminate firing on the villagers in which seven persons were killed on the spot while one died later. a massive combing operation has been launched to nab the terrorists.",NA,"assam",NA
"90",90,"2000-12-28","nine persons, including a security force personnel, were killed and four more security force personnel injured during an encounter with unidentified terrorists on december 28, in tamenglong district. according to official sources the incident took place when a patrol party of the security forces was attacked by the terrorists.",NA,NA,"people’s liberation army of manipur"
"91",91,"2000-12-28","on december 28, nine foreign terrorists, mercenaries, including three pakistani nationals were killed in separate encounters in jammu and kashmir. three pakistani terrorists including a hitman of the inter services intelligence (isi) of pakistan and ‘second in command’ of khalistan zindabad force (kzf) were killed in an encounter at dablehar village. a large quantity of arms and ammunition were recovered from their possession. the kzf terrorist was wanted in connection with more than 20 bomb blasts in different parts of the region. three security force personnel were injured in the operation.","jammu","jammu and kashmir","hizbul mujahideen"
"92",92,"2000-12-28","on december 28, three persons were killed and six injured in firing by the security forces at nagarsingmari village near the india bangladesh border in west bengal's jalpaiguri district. according to reports, the killed were trying to help bangladeshis illegally enter indian territory.",NA,"west bengal",NA
"93",93,"2000-12-31","on december 31, four indian villagers, including a woman and a child, were killed by an unidentified terrorist group from bangladesh at irani, a border village in the north district. according to reports, the terrorists later escaped to sylhet, in assam.",NA,"assam",NA
"94",94,"2000-12-31","on december 31, four persons were killed and another injured by suspected terrorists of the united peoples’ democratic solidarity (upds) at disobai forest in karbi anglong disrict. the four civilians killed were members of the hindi speaking community in the state,",NA,NA,NA
"95",95,"2000-12-04","security forces reported that six personnel and two suicide squad members, fidayeen of the lashkar e toiba (let) were killed in the suicide attack at the central reserve police force (crpf) camp in anantnag district on december 4.","anantnag","jammu and kashmir","lashkar e taiba"
"96",96,"2000-12-04","two terrorists launched an attack after storming into a security force camp in anantnag, on december 4. security forces confirmed that a terrorist and a security force personnel were killed in the attack that was continuing when reports last came in. unofficial media sources, however, put the death tally at one terrorist and five security force personnel, while seven security force personnel were injured. the fate of the other terrorist is not yet known. media reports have also said that the lashkar e toiba (let) has claimed responsibility for the attack.","anantnag","jammu and kashmir","lashkar e taiba"
"97",97,"2000-12-06","in the third incident, terrorists of national democratic front of bodoland (ndfb) killed three civilians, woodcutters, in moinaguri reserve forest in kokrajhar district.",NA,NA,NA
"98",98,"2000-12-06","security forces said on december 6 that 12 persons were killed on the international border at sangrala in jammu district. the incident occurred when border security force (bsf) personnel detected a large group attempting to illegally cross the border from pakistan into india. when challenged the group attempted to flee leading to firing by security forces. later, 12 bodies were recovered from the area. security forces suspect that the group could be agents of pakistan's inter services intelligence though news reports suggest that the group could be illegal bangladeshi migrants. no arms were reported to have been recovered from the area.","jammu","jammu and kashmir",NA
"99",99,"2000-12-07","in another massacre targeting the non assamese community in the state, twenty eight hindi speaking people were killed and fourteen others injured by unidentified terrorists in a forest area near sadiya along the indo myanmar border on december 7. most of the victims were petty traders and farm workers from bihar. the victims were travelling in truck when the incident occurred. this is the ninth attack on hindi speaking migrants since october 21.",NA,"assam",NA
"100",100,"2000-12-08","on the night of december 8, one security force personnel and two terrorists were killed in an encounter at kot kuba in the rs pora sector of the india pakistan border. the encounter ensued after security forces detected a group of terrorists attempting to infiltrate into india from across the border. security forces suspected that the infiltrators were pakistani mercenaries of the lashkar e toiba.",NA,NA,"lashkar e taiba"
"101",101,"2000-02-29","the army, central reserve police force and the police launched a joint operation in nalbari, kamrup and barpeta districts to clear pockets infested with ulfa militants. on february 29, three ulfa militants belonging to its rhino group were killed in the operation.",NA,NA,"united liberation front of assam "
"102",102,"2000-07-01","united people's democratic solidarity (upds) terrorists gunned down three persons and seriously injured two others in karbi anglong district, on july 1.",NA,NA,NA
"103",103,"2000-07-11","security forces personnel killed three terrorists in jammu and kashmir, in an exchange of fire near waykul, near diwar. two more terrorists were killed on july 11, in an encounter in pohodalb, near panzgam. in another incident, a woman was killed by terrorists in bau damhal hanjipora. security forces exchanged fire with terrorists in gasren kulgam. a militant was injured in the incident.","jammu","jammu and kashmir","hizbul mujahideen"
"104",104,"2000-07-11","security forces raided a terrorist camp near jiribam, on the assam manipur border, tamenglong district, on july 11 and killed 12 terrorists; the identity of those killed is yet to be established. a huge cache of arms and ammunition of various makes were recovered from the camp.",NA,"assam",NA
"105",105,"2000-07-13","three terrorists, including two pakistani nationals, were killed in an encounter in liran, rajouri district, on july 13 during night. in another encounter in katari gali, doda district, one more terrorist was killed. all the four belonged to the hizb ul mujahideen. in another incident, two terrorists and two security forces personnel were killed in an encounter in the hafrada forests, kupwara district. also, three security forces personnel were injured in the encounter.","doda","jammu and kashmir","hizbul mujahideen"
"106",106,"2000-07-15","terrorists of the united people's democratic solidarity (upds) killed ten persons, including two women and four children at langparpang, karbi anglong district on july 15.",NA,NA,NA
"107",107,"2000-07-16","in another incident, three terrorists of the united liberation front of asom (ulfa) and a security force personnel were killed in an encounter at balapara kawoimari area of barpeta district on july 16.",NA,NA,"united liberation front of assam "
"108",108,"2000-07-18","earlier, on the night of july 18, three unidentified terrorists and one security force personnel were killed in an encounter at tarhama in baramulla district. in another encounter at machil, kupwara district, one unidentified terrorist was killed.","baramulla","jammu and kashmir",NA
"109",109,"2000-07-19","six terrorists of the harkat ul jihad e islami, including its jammu chief, mohammad afzal alias abu umer, were killed in an encounter on july 19 at nealli village, near manjakote, rajouri district, near the line of control. the infiltrating terrorists were detected while they were taking shelter in nealli. one security force officer too was killed in the encounter. a search has been launched to capture the remaining terrorists who escaped from the scene of the encounter.","jammu","jammu and kashmir","harkatul jihad e islami"
"110",110,"2000-07-19","two terrorists and one security force personnel were killed in an encounter in sunderbani, rajouri district, on july 19. in another encounter, at nik manjodi in poonch district, one security force personnel was killed and one civilian was injured. in the same district, one foreign mercenary of the harkat ul jihadi islami was killed in a separate encounter at shara mohra.","poonch","jammu and kashmir",NA
"111",111,"2000-07-20","another encounter in the same district, three foreign mercenaries, including two belonging to the al badr terrorist outfit and a lashkar e toiba cadre, were killed in the kahshora forest.",NA,NA,"al badr "
"112",112,"2000-07-20","four terrorists, including three foreign mercenaries, were killed in an encounter in dadri gali, kupwara district, on july 20.","kupwara","jammu and kashmir",NA
